country,ingredient
vietnamese,3.5 tbsp fish sauce
vietnamese,100ml water
vietnamese,1 tbsp lime juice
vietnamese,50g daikon
vietnamese,50g carrot
vietnamese,1 tsp salt
vietnamese,1 tbsp sugar
vietnamese,2 tbsp vinegar
vietnamese,Mint leaves
vietnamese,Basil leaves
vietnamese,2 medium-sized onions
vietnamese,2-inch ginger
vietnamese,1 cinnamon stick
vietnamese,4 cloves
vietnamese,4 cardamon
vietnamese,2 star anise
vietnamese,1 tsp coriander seeds
vietnamese,8 drumsticks
vietnamese,25g rock sugar
vietnamese,2.5 tsp salt
vietnamese,1.5 liter water
vietnamese,200g dried rice noodles
vietnamese,5 tbsp fish sauce
vietnamese,1 handful of bean sprouts
vietnamese,1 tbsp green onions
vietnamese,1 tsp cut red chili
vietnamese,Small bunch of mint leaves
vietnamese,Small bunch of Thai basil leaves
vietnamese,One lime
vietnamese,8 pieces rice paper
vietnamese,"8 prawns, ,peeled, halved"
vietnamese,"60 g rice vermicelli, uncooked weight"
vietnamese,4 sprigs  mint leaves
vietnamese,4 sprigs  coriander leaves
vietnamese,"4 sprigs  basil leaves, optional"
vietnamese,2 stalks scallion
vietnamese,"1 stick carrot, cut into matchsticks"
vietnamese,"1 cucumber, cut into matchsticks"
vietnamese,1 lettuce
vietnamese,2 tbsp sugar
vietnamese,1 1/2 tbsp lime juice
vietnamese,1 tbsp fish sauce
vietnamese,4 tbsp hot water
vietnamese,"1 clove garlic, crushed"
vietnamese,"1 bird's eye chili, finely sliced"
vietnamese,1 tbsp vegetable oil
vietnamese,"1 garlic clove, minced"
vietnamese,"1 1/2 tbsp peanut butter, preferably smooth"
vietnamese,3 tbsp Hoisin Sauce
vietnamese,"3 tbsp water, or milk for a lighter color"
vietnamese,"red chili, minced to garnish"
vietnamese,"peanuts, crushed to garnish"
vietnamese,"2 pieces of deboned chicken thighs, skin removed"
vietnamese,2 tbsp ground lemongrass
vietnamese,2 tsp light soy sauce
vietnamese,2 tbsp fish sauce
vietnamese,2 tsp curry powder
vietnamese,1 tbsp sugar
vietnamese,2 tbsp honey
vietnamese,1/4 tsp ground white pepper
vietnamese,50g of the dry coating mix for frying (refer to note below)
vietnamese,Vegetables oil to fry
vietnamese,1kg beef
vietnamese,1 tsp sugar 
vietnamese,1 tsp salt
vietnamese,1/2 tsp black pepper 
vietnamese,2 tbsp fish sauce 
vietnamese,2 tbsp vegetable oil
vietnamese,1 tbsp chopped garlic
vietnamese,1 tbsp chopped ginger
vietnamese,2 tsp annatto powder
vietnamese,2 tsp Bo Kho spices
vietnamese,"1 large tomato, coarsely chopped"
vietnamese,"4 lemongrass, bashed"
vietnamese,1 cinnamon stick 
vietnamese,2 star anise
vietnamese,2 bay leaves 
vietnamese,1.5 liter water
vietnamese,"2 carrots, cut into wedges"
vietnamese,1 cup coconut water
vietnamese,Cornstarch slurry (1 tsp cornstarch + 2 tbsp cold water)
vietnamese,"1 large onion, cut into slices"
vietnamese,Basil leaves
vietnamese,Coriander leaves 
vietnamese,Lime wedges
vietnamese,"2 chicken thigh, skin-on, deboned"
vietnamese,"4 shallots, minced"
vietnamese,"2 tbsp lemongrass, minced (or blend) "
vietnamese,"2 cloves garlic, minced"
vietnamese,"1 tsp ginger, minced "
vietnamese,1/4 tsp white pepper
vietnamese,2 tsp light soy sauce
vietnamese,2 tbsp fish sauce
vietnamese,1 tbsp lime juice 
vietnamese,2 tsp vegetable oil
vietnamese,2 tbsp sugar
vietnamese,"2 stalk scallion, white part only, finely chopped"
vietnamese,"2 stalk scallions, green part only, chopped"
vietnamese,2 tbsp vegetable oil
vietnamese,A pinch of salt
vietnamese,50 ml hot water
vietnamese,50 g sugar
vietnamese,"50 ml lime juice, freshly squeezed"
vietnamese,50 ml fish sauce
vietnamese,"1/2 tsp garlic, minced"
vietnamese,"1/4 tsp red chili, minced"
vietnamese,3-4 pieces pork chops
vietnamese,"4 shallots, minced"
vietnamese,"2 tbsp lemongrass, minced"
vietnamese,1 tsp dark soy sauce
vietnamese,1/4 tsp black pepper
vietnamese,2 tsp light soy sauce
vietnamese,2 tbsp fish sauce
vietnamese,2 tsp vegetable oil
vietnamese,2 tbsp sugar
vietnamese,4 tsp honey
vietnamese,"2 stalk scallion, white part only, finely chopped"
vietnamese,"2 stalk scallions, green part only, chopped"
vietnamese,2 tbsp vegetable oil
vietnamese,A pinch of salt
vietnamese,100 ml hot water
vietnamese,50 g sugar
vietnamese,"50 ml lime juice, freshly squeezed"
vietnamese,50 ml fish sauce
vietnamese,"1/2 tsp garlic, minced"
vietnamese,"1/4 tsp bird’s eye chili, red color preferred, minced"
